Ticker,Date/Time,Open,High,Low,Close,Volume
SET,15/05/2012,1164.19,1184.55,1159.66,1184.55,4784820224
SET,16/05/2012,1165.77,1171.23,1151.84,1171.23,5186327040
SET,17/05/2012,1173.64,1179.14,1166.22,1173.56,5272868864
SET,18/05/2012,1157.73,1160.56,1148.81,1154.44,4714868224
SET,21/05/2012,1152.71,1153.73,1135.16,1135.16,3973488128
SET,22/05/2012,1146.76,1149.72,1131.52,1131.52,3271826944
SET,23/05/2012,1125.91,1128.43,1108.56,1110.70,3630412032
SET,24/05/2012,1111.06,1125.78,1101.59,1125.78,4009380096
SET,25/05/2012,1119.15,1134.20,1115.69,1132.83,2893861888
SET,28/05/2012,1130.19,1139.93,1123.92,1139.93,2877657088
SET,29/05/2012,1140.81,1156.23,1140.57,1153.66,4918820864
SET,30/05/2012,1145.38,1148.70,1137.67,1138.63,5976507904
SET,31/05/2012,1127.82,1143.92,1123.26,1141.50,6120117760
SET,01/06/2012,1137.27,1139.66,1115.19,1115.19,3434104064
SET,05/06/2012,1119.57,1122.35,1099.15,1099.15,4039069952
SET,06/06/2012,1110.34,1123.44,1110.24,1117.95,4290661120
SET,07/06/2012,1130.87,1134.61,1114.84,1118.53,4553424896
SET,08/06/2012,1116.00,1127.10,1112.18,1127.10,3072666880
SET,11/06/2012,1143.17,1158.07,1143.17,1158.07,5279586816
SET,12/06/2012,1148.23,1162.93,1145.48,1162.93,5035802112
SET,13/06/2012,1164.31,1166.96,1152.28,1158.22,5794905088
SET,14/06/2012,1153.78,1163.78,1152.42,1153.01,5011506176
SET,15/06/2012,1161.31,1170.48,1160.40,1165.73,6093819904
SET,18/06/2012,1178.74,1181.69,1159.95,1163.41,4147750912
SET,19/06/2012,1166.37,1173.09,1162.30,1173.09,3964154880
SET,20/06/2012,1171.28,1175.34,1168.15,1173.24,4510611968
SET,21/06/2012,1165.46,1167.00,1156.47,1159.05,3796684032
SET,22/06/2012,1149.32,1152.91,1144.44,1152.91,3668155904
SET,25/06/2012,1151.82,1158.12,1147.43,1147.43,3125392896
SET,26/06/2012,1146.89,1154.77,1145.79,1151.09,3117652992
SET,27/06/2012,1156.78,1167.12,1156.53,1165.98,4041974016
SET,28/06/2012,1170.74,1178.06,1160.75,1171.32,3622333952
SET,29/06/2012,1176.19,1185.63,1172.11,1172.11,3803422976
SET,02/07/2012,1185.16,1190.03,1181.48,1188.74,3632096000
SET,03/07/2012,1193.94,1199.17,1191.81,1198.07,3985931008
SET,04/07/2012,1203.10,1203.70,1190.57,1194.15,3626240000
SET,05/07/2012,1193.42,1201.80,1190.02,1201.80,3561660928
SET,06/07/2012,1201.92,1205.04,1191.07,1200.08,3547031040
SET,09/07/2012,1191.39,1192.58,1186.32,1186.95,2714547968
SET,10/07/2012,1188.87,1204.42,1187.49,1204.42,3549026048
SET,11/07/2012,1200.79,1210.44,1199.31,1208.67,4486030848
SET,12/07/2012,1203.24,1205.85,1193.13,1193.13,3430627072
SET,13/07/2012,1194.48,1212.66,1194.48,1210.29,3267159040
SET,16/07/2012,1212.96,1219.46,1209.57,1214.25,4580612096
SET,17/07/2012,1222.30,1224.94,1219.37,1224.21,4172011008
SET,18/07/2012,1222.16,1224.81,1215.64,1220.14,4442569216
SET,19/07/2012,1228.44,1228.80,1210.67,1212.96,5296626176
SET,20/07/2012,1216.42,1218.99,1204.99,1208.55,3811678976
SET,23/07/2012,1188.98,1194.02,1183.63,1185.11,3819378944
SET,24/07/2012,1184.16,1193.09,1183.23,1187.64,4083859968
SET,25/07/2012,1186.61,1189.45,1179.25,1188.62,5098520064
SET,26/07/2012,1193.64,1196.37,1172.92,1172.92,4909963776
SET,27/07/2012,1188.94,1189.59,1173.89,1178.01,4030971904
SET,30/07/2012,1183.34,1193.32,1183.34,1193.32,2767589120
SET,31/07/2012,1198.80,1199.74,1189.38,1199.30,3307444992
SET,01/08/2012,1197.26,1202.00,1194.26,1201.13,3971752960
SET,03/08/2012,1194.66,1199.51,1186.38,1197.53,4673611776
SET,06/08/2012,1206.44,1209.72,1201.77,1208.01,4080162048
SET,07/08/2012,1211.71,1212.82,1206.64,1208.19,3622100992
SET,08/08/2012,1213.54,1217.84,1212.79,1214.13,5436321792
SET,09/08/2012,1220.27,1223.93,1211.71,1217.70,5751744000
SET,10/08/2012,1216.47,1219.37,1209.75,1219.37,3913585920
SET,14/08/2012,1223.93,1226.82,1217.39,1226.82,4609170944
SET,15/08/2012,1222.88,1227.05,1218.34,1226.83,6757795840
SET,16/08/2012,1228.36,1230.61,1224.40,1224.40,5427022848
SET,17/08/2012,1230.33,1230.50,1220.12,1223.91,3519724032
SET,20/08/2012,1222.10,1229.80,1218.15,1229.00,3255652096
SET,21/08/2012,1227.53,1235.39,1227.00,1232.29,4250746880
SET,22/08/2012,1230.35,1234.89,1228.90,1234.14,4843720192
SET,23/08/2012,1236.43,1243.26,1235.27,1237.64,4231158016
SET,24/08/2012,1231.51,1238.02,1230.93,1237.19,3255207936
SET,27/08/2012,1240.47,1242.44,1233.73,1233.73,3190674944
SET,28/08/2012,1234.65,1239.40,1232.86,1233.16,3795244032
SET,29/08/2012,1233.76,1237.82,1220.16,1220.16,3636250112
SET,30/08/2012,1216.22,1217.15,1207.53,1214.55,3338936064
SET,31/08/2012,1213.17,1227.48,1211.38,1227.48,3565273088
SET,03/09/2012,1230.45,1239.19,1229.15,1235.48,3513579008
SET,04/09/2012,1240.77,1241.73,1232.33,1236.31,3966070528
SET,05/09/2012,1231.13,1238.85,1230.41,1233.84,3958746624
SET,06/09/2012,1237.79,1246.98,1237.23,1243.92,5118081024
SET,07/09/2012,1254.13,1255.89,1246.10,1246.10,8762991616
SET,10/09/2012,1249.73,1254.87,1249.35,1250.93,7223116288
SET,11/09/2012,1250.69,1253.05,1244.61,1248.32,6830823424
SET,12/09/2012,1255.35,1259.96,1252.62,1259.96,6265553408
SET,13/09/2012,1261.90,1262.06,1253.81,1257.69,5239628288
SET,14/09/2012,1274.04,1279.67,1270.71,1276.12,7224779776
SET,17/09/2012,1277.83,1282.22,1274.18,1278.54,8595816448
SET,18/09/2012,1274.54,1279.09,1269.16,1272.86,5549261312
SET,19/09/2012,1274.14,1285.55,1273.60,1285.46,6912461824
SET,20/09/2012,1282.16,1286.68,1276.12,1282.68,7490297856
SET,21/09/2012,1285.56,1288.37,1282.33,1286.26,6650445824
SET,24/09/2012,1283.46,1288.57,1280.49,1284.30,7802106368
SET,25/09/2012,1287.52,1290.70,1284.46,1287.41,7390341632
SET,26/09/2012,1282.89,1285.19,1270.33,1274.50,7327027200
SET,27/09/2012,1277.40,1290.50,1276.91,1286.11,5750782976
SET,28/09/2012,1295.69,1300.17,1293.62,1298.79,6507734016
SET,01/10/2012,1295.31,1303.73,1294.97,1299.71,4924064768
SET,02/10/2012,1305.19,1309.04,1301.06,1305.66,6277299712
SET,03/10/2012,1309.01,1311.67,1302.35,1307.55,8273466880
SET,04/10/2012,1308.97,1314.32,1306.05,1306.63,8399275008
SET,05/10/2012,1311.40,1314.28,1308.63,1311.35,6989143552
SET,08/10/2012,1308.46,1310.43,1300.51,1304.71,10141887488
SET,09/10/2012,1310.95,1314.64,1292.40,1292.48,9359518720
SET,10/10/2012,1286.56,1294.22,1286.50,1289.35,8051234816
SET,11/10/2012,1290.37,1295.12,1280.23,1294.90,8379926016
SET,12/10/2012,1298.38,1302.54,1296.63,1296.98,7362662400
SET,15/10/2012,1293.55,1295.61,1286.12,1290.56,7193974272
SET,16/10/2012,1296.00,1297.42,1287.10,1287.49,8403747328
SET,17/10/2012,1292.53,1301.50,1290.30,1301.28,8945515520
SET,18/10/2012,1306.84,1312.07,1302.83,1311.21,7692756992
SET,19/10/2012,1311.39,1314.32,1306.83,1307.71,5767167488
SET,22/10/2012,1301.85,1310.94,1300.80,1310.42,5798287872
SET,24/10/2012,1304.77,1307.85,1291.36,1295.00,7871380480
SET,25/10/2012,1293.66,1298.96,1285.83,1297.39,5355923968
SET,26/10/2012,1293.24,1294.67,1271.33,1281.81,5931344896
SET,29/10/2012,1281.55,1283.74,1274.90,1279.57,4287692032
SET,30/10/2012,1281.85,1294.43,1280.30,1294.43,4903530496
SET,31/10/2012,1294.54,1300.13,1291.89,1298.87,5568797696
SET,01/11/2012,1297.04,1302.68,1294.93,1297.99,5218600448
SET,02/11/2012,1307.69,1311.39,1304.93,1306.60,6747039232
SET,05/11/2012,1306.87,1310.50,1303.44,1306.70,5544474624
SET,06/11/2012,1308.07,1313.24,1298.41,1300.84,5481939456
SET,07/11/2012,1304.56,1306.56,1297.51,1299.74,5585231872
SET,08/11/2012,1288.58,1295.02,1285.77,1293.70,5852264448
SET,09/11/2012,1292.94,1298.04,1286.21,1290.83,6221579264
SET,12/11/2012,1293.66,1296.56,1289.63,1294.50,4611368448
SET,13/11/2012,1291.63,1293.15,1283.70,1289.07,5131221504
SET,14/11/2012,1291.48,1293.77,1278.94,1279.29,5924833792
SET,15/11/2012,1274.16,1276.77,1263.05,1274.02,6065504768
SET,16/11/2012,1273.35,1280.13,1272.48,1280.13,4209975296
SET,19/11/2012,1282.49,1284.77,1278.48,1283.65,4156950016
SET,20/11/2012,1289.74,1291.29,1273.82,1276.41,4345142272
SET,21/11/2012,1277.98,1279.25,1268.30,1276.39,4512074752
SET,22/11/2012,1279.36,1282.73,1276.92,1279.51,5053768192
SET,23/11/2012,1277.30,1282.23,1272.98,1281.70,5676450304
SET,26/11/2012,1288.19,1292.66,1286.13,1290.85,4857742848
SET,27/11/2012,1293.71,1298.47,1292.47,1297.03,5573069312
SET,28/11/2012,1295.11,1302.13,1292.64,1299.94,4930973184
SET,29/11/2012,1304.33,1311.09,1303.70,1309.57,5136993792
SET,30/11/2012,1314.33,1328.27,1313.68,1324.04,6489199616
SET,03/12/2012,1329.12,1333.64,1326.95,1332.92,5662038016
SET,04/12/2012,1334.30,1335.19,1326.68,1330.06,6579475968
SET,06/12/2012,1335.72,1342.53,1335.01,1339.88,6919011328
SET,07/12/2012,1341.35,1343.03,1330.26,1334.95,7330869760
SET,11/12/2012,1341.20,1344.82,1338.30,1341.33,5952861184
SET,12/12/2012,1347.44,1354.84,1345.36,1354.57,13230246912
SET,13/12/2012,1356.60,1360.23,1350.55,1353.81,7151043072
SET,14/12/2012,1355.41,1360.42,1354.39,1358.50,17401499648
SET,17/12/2012,1361.83,1366.01,1357.74,1359.09,8563436544
SET,18/12/2012,1364.15,1366.17,1348.15,1362.94,10534856704
SET,19/12/2012,1369.77,1378.76,1367.90,1378.40,16332431360
SET,20/12/2012,1377.74,1381.38,1372.52,1377.40,11519583232
SET,21/12/2012,1371.95,1375.83,1368.66,1373.38,11544600576
SET,24/12/2012,1372.99,1375.82,1369.02,1375.82,11662570496
SET,25/12/2012,1375.70,1379.66,1374.89,1378.32,7863077376
SET,26/12/2012,1379.43,1384.70,1378.43,1382.23,10875570176
SET,27/12/2012,1385.38,1398.80,1384.24,1397.19,15203607552
SET,28/12/2012,1401.91,1402.86,1391.85,1391.93,17626632192
SET,02/01/2013,1401.39,1411.58,1400.95,1407.45,14576708608
SET,03/01/2013,1411.56,1415.81,1404.99,1408.41,14587834368
SET,04/01/2013,1405.48,1416.67,1399.97,1416.66,18367358976
SET,07/01/2013,1423.27,1425.26,1415.32,1415.32,20917495808
SET,08/01/2013,1415.08,1421.62,1408.08,1417.33,11872163840
SET,09/01/2013,1422.83,1428.98,1421.63,1423.46,17447344128
SET,10/01/2013,1426.73,1429.21,1404.12,1405.99,12546684928
SET,11/01/2013,1407.12,1412.06,1392.61,1412.06,14573787136
SET,14/01/2013,1417.16,1426.22,1414.03,1425.07,29257918464
SET,15/01/2013,1431.62,1432.21,1417.91,1422.86,23730778112
SET,16/01/2013,1424.90,1426.98,1413.11,1416.14,43144704000
SET,17/01/2013,1421.45,1422.50,1410.10,1420.95,46821847040
SET,18/01/2013,1429.12,1437.02,1427.35,1434.44,35864805376
SET,21/01/2013,1441.66,1443.98,1434.81,1440.48,31149119488
SET,22/01/2013,1442.73,1451.06,1433.73,1434.09,44902354944
SET,23/01/2013,1440.95,1444.85,1419.53,1439.20,40041312256
SET,24/01/2013,1446.90,1450.80,1437.73,1449.09,21661046784
SET,25/01/2013,1451.53,1463.20,1450.54,1461.41,20941754368
SET,28/01/2013,1467.17,1473.67,1464.40,1472.05,16875704320
SET,29/01/2013,1475.42,1480.19,1468.08,1478.77,12068463616
SET,30/01/2013,1484.28,1492.72,1479.64,1490.82,12678337536
SET,31/01/2013,1487.07,1491.02,1471.40,1474.20,11749782528
SET,01/02/2013,1481.48,1499.22,1480.41,1499.22,20808165376
SET,04/02/2013,1508.44,1511.95,1502.12,1506.37,13662191616
SET,05/02/2013,1494.86,1509.23,1493.96,1505.72,11478119424
SET,06/02/2013,1508.20,1509.89,1498.24,1500.35,14410562560
SET,07/02/2013,1496.75,1502.89,1482.64,1499.81,18229176320
SET,08/02/2013,1499.69,1509.57,1495.90,1497.30,13391245312
SET,11/02/2013,1501.02,1502.47,1488.82,1489.11,14883642368
SET,12/02/2013,1488.40,1497.25,1486.20,1488.95,16410409984
SET,13/02/2013,1497.80,1516.21,1497.73,1514.11,20058320896
SET,14/02/2013,1522.61,1527.48,1516.97,1526.74,12202261504
SET,15/02/2013,1524.60,1526.23,1514.03,1521.52,13171748864
SET,18/02/2013,1523.84,1528.56,1519.86,1523.29,18538692608
SET,19/02/2013,1528.35,1533.59,1524.80,1532.07,15831656448
SET,20/02/2013,1539.59,1547.33,1536.53,1546.64,15535127552
SET,21/02/2013,1537.73,1540.81,1526.93,1528.74,18500495360
SET,22/02/2013,1528.76,1542.90,1527.59,1540.13,11949218816
SET,26/02/2013,1538.87,1539.81,1524.08,1530.32,11218922496
SET,27/02/2013,1535.59,1538.23,1518.02,1518.05,15339183104
SET,28/02/2013,1529.00,1541.68,1518.98,1541.58,11793162240
SET,01/03/2013,1544.34,1549.82,1537.02,1539.60,13293429760
SET,04/03/2013,1540.37,1543.38,1530.84,1540.72,12712076288
SET,05/03/2013,1551.07,1555.63,1545.45,1549.31,11198550016
SET,06/03/2013,1558.84,1561.72,1554.23,1559.35,11423867904
SET,07/03/2013,1561.30,1562.90,1554.83,1560.98,12362339328
SET,08/03/2013,1571.73,1573.10,1563.23,1566.92,15866452992
SET,11/03/2013,1574.08,1580.87,1571.58,1577.65,16788312064
SET,12/03/2013,1583.09,1586.41,1570.53,1576.68,18373638144
SET,13/03/2013,1579.12,1582.10,1571.40,1578.70,16728850432
SET,14/03/2013,1577.68,1587.22,1574.48,1586.79,13969449984
SET,15/03/2013,1596.10,1599.89,1592.69,1598.13,21579407360
SET,18/03/2013,1588.84,1596.44,1587.45,1591.65,27423766528
SET,19/03/2013,1598.84,1601.34,1554.27,1568.25,30289620992
SET,20/03/2013,1568.48,1569.70,1534.27,1543.67,31708936192
SET,21/03/2013,1546.81,1548.66,1526.24,1529.52,31759970304
SET,22/03/2013,1519.89,1526.27,1464.72,1478.97,35619393536
SET,25/03/2013,1494.09,1525.42,1491.01,1523.95,14988825600
SET,26/03/2013,1523.86,1547.10,1516.47,1544.03,12572719104
SET,27/03/2013,1553.71,1569.32,1553.57,1560.87,14194197504
SET,28/03/2013,1557.05,1562.49,1539.60,1544.57,14933028864
SET,29/03/2013,1554.64,1567.44,1554.18,1561.06,11823400960
SET,01/04/2013,1562.71,1563.10,1549.33,1549.55,9369003008
SET,02/04/2013,1553.24,1559.50,1540.00,1550.54,14121504768
SET,03/04/2013,1559.00,1562.39,1518.60,1520.52,16145684480
SET,04/04/2013,1482.48,1528.48,1480.41,1528.46,15900001280
SET,05/04/2013,1515.24,1517.25,1487.60,1489.53,11486337024
SET,09/04/2013,1494.04,1495.24,1470.22,1470.72,10020634624
SET,10/04/2013,1476.58,1490.39,1458.40,1490.25,11747209216
SET,11/04/2013,1500.24,1516.88,1490.84,1516.81,8913641472
SET,12/04/2013,1519.54,1528.94,1514.22,1527.32,7468579328
SET,17/04/2013,1522.31,1538.17,1518.19,1521.53,8259074048
SET,18/04/2013,1521.66,1529.92,1510.38,1529.76,6761706496
SET,19/04/2013,1535.18,1551.08,1531.70,1545.46,9926642688
SET,22/04/2013,1558.50,1559.65,1545.48,1559.10,10060478464
SET,23/04/2013,1557.16,1564.51,1546.76,1549.35,9965372416
SET,24/04/2013,1557.30,1560.34,1550.05,1553.85,8599165952
SET,25/04/2013,1556.35,1574.67,1555.18,1574.25,10961554432
SET,26/04/2013,1582.26,1587.24,1576.18,1582.93,8815721472
SET,29/04/2013,1590.11,1592.76,1575.90,1584.93,11961065472
SET,30/04/2013,1593.13,1597.86,1586.45,1597.86,8409688576
SET,02/05/2013,1601.00,1603.01,1588.04,1589.19,10342211584
SET,03/05/2013,1596.60,1598.93,1577.40,1578.95,9790686208
SET,07/05/2013,1587.18,1601.18,1572.74,1601.15,7246455808
SET,08/05/2013,1608.90,1621.40,1607.19,1614.15,9250122752
SET,09/05/2013,1618.67,1625.84,1611.52,1621.12,11065141248
SET,10/05/2013,1622.90,1626.99,1614.88,1622.48,10519347200
SET,13/05/2013,1621.58,1625.64,1608.59,1617.73,11248564224
SET,14/05/2013,1620.06,1628.65,1619.05,1623.48,13044562944
SET,15/05/2013,1631.31,1635.42,1627.85,1630.09,14794579968
SET,16/05/2013,1632.53,1634.78,1611.18,1617.89,11583115264
SET,17/05/2013,1615.73,1632.14,1612.12,1627.96,10457151488
SET,20/05/2013,1636.94,1646.59,1636.21,1643.40,10298838016
SET,21/05/2013,1645.78,1649.77,1639.49,1643.43,9866701824
SET,22/05/2013,1642.46,1648.30,1629.47,1631.27,9052524544
SET,23/05/2013,1624.33,1629.57,1582.76,1607.46,12300793856
SET,27/05/2013,1597.92,1598.52,1585.32,1593.10,7613159936
